Word,Frequency,Frequency (%)
form,2,0.111111
g,2,0.111111
way,2,0.111111
end,2,0.111111
web,2,0.111111
fortran,2,0.111111
punched,2,0.111111
still,2,0.111111
sql,2,0.111111
spreadsheets,2,0.111111
output,2,0.111111
package,2,0.111111
particular,2,0.111111
postgresql,2,0.111111
precise,2,0.111111
spaces,2,0.111111
provides,2,0.111111
storage,2,0.111111
software,2,0.111111
simplicity,2,0.111111
quoting,2,0.111111
read,2,0.111111
readability,2,0.111111
separators,2,0.111111
represented,2,0.111111
results,2,0.111111
semantics,2,0.111111
saving,2,0.111111
then,2,0.111111
interoperability,2,0.111111
unicode,2,0.111111
typically,2,0.111111
two,2,0.111111
largely,2,0.111111
later,2,0.111111
tools,2,0.111111
this,2,0.111111
these,2,0.111111
makes,2,0.111111
interchange,2,0.111111
them,2,0.111111
must,2,0.111111
no,2,0.111111
technical,2,0.111111
often,2,0.111111
strings,2,0.111111
open,2,0.111111
stores,2,0.111111
openoffice,2,0.111111
option,2,0.111111
benefits,2,0.111111
2013,2,0.111111
easier,2,0.111111
business,2,0.111111
e,2,0.111111
create,2,0.111111
application,2,0.111111
2016,2,0.111111
de,2,0.111111
computers,2,0.111111
computer,2,0.111111
articles,2,0.111111
does,2,0.111111
7111,2,0.111111
dialect,2,0.111111
ascii,2,0.111111
at,2,0.111111
commonly,2,0.111111
defines,2,0.111111
576,2,0.111111
began,2,0.111111
describing,2,0.111111
delimited,2,0.111111
delimiter,2,0.111111
14,2,0.111111
among,2,0.111111
content,2,0.111111
10,2,0.111111
containing,2,0.111111
encodings,2,0.111111
apache,2,0.111111
correctly,2,0.111111
copy,2,0.111111
apple,2,0.111111
allows,2,0.111111
embedded,2,0.111111
encoding,2,0.111111
consists,2,0.111111
16,2,0.111111
attempt,1,0.0555556
another,1,0.0555556
special,1,0.0555556
sep,1,0.0555556
specification,1,0.0555556
selected,1,0.0555556
specific,1,0.0555556
select,1,0.0555556
scientific,1,0.0555556
science,1,0.0555556
schema,1,0.0555556
size,1,0.0555556
approved,1,0.0555556
single,1,0.0555556
sizes,1,0.0555556
smaller,1,0.0555556
simplify,1,0.0555556
appear,1,0.0555556
simpler,1,0.0555556
basic,1,0.0555556
simple,1,0.0555556
similar,1,0.0555556
sophisticated,1,0.0555556
shift,1,0.0555556
sheets,1,0.0555556
sets,1,0.0555556
architectures,1,0.0555556
sequences,1,0.0555556
sequence,1,0.0555556
around,1,0.0555556
separately,1,0.0555556
query,1,0.0555556
recommendation,1,0.0555556
receiving,1,0.0555556
reason,1,0.0555556
reading,1,0.0555556
readily,1,0.0555556
readable,1,0.0555556
bundled,1,0.0555556
ranges,1,0.0555556
byte,1,0.0555556
c,1,0.0555556
calculations,1,0.0555556
called,1,0.0555556
quotation,1,0.0555556
breaks,1,0.0555556
cannot,1,0.0555556
published,1,0.0555556
publicized,1,0.0555556
providing,1,0.0555556
canonical,1,0.0555556
provided,1,0.0555556
provide,1,0.0555556
protocols,1,0.0555556
cards,1,0.0555556
prone,1,0.0555556
prohibit,1,0.0555556
care,1,0.0555556
required,1,0.0555556
saves,1,0.0555556
avoids,1,0.0555556
s,1,0.0555556
b,1,0.0555556
back,1,0.0555556
backslash,1,0.0555556
richer,1,0.0555556
standards,1,0.0555556
restrictions,1,0.0555556
reserved,1,0.0555556
requiring,1,0.0555556
requirements,1,0.0555556
automatically,1,0.0555556
represents,1,0.0555556
represent,1,0.0555556
released,1,0.0555556
release,1,0.0555556
relative,1,0.0555556
relations,1,0.0555556
best,1,0.0555556
relation,1,0.0555556
regional,1,0.0555556
refer,1,0.0555556
both,1,0.0555556
break,1,0.0555556
25,1,0.0555556
2015,1,0.0555556
validity,1,0.0555556
validation,1,0.0555556
2019,1,0.0555556
21,1,0.0555556
22,1,0.0555556
user,1,0.0555556
23,1,0.0555556
24,1,0.0555556
uri,1,0.0555556
unquoted,1,0.0555556
unlike,1,0.0555556
variant,1,0.0555556
undocumented,1,0.0555556
under,1,0.0555556
uk,1,0.0555556
26,1,0.0555556
typical,1,0.0555556
types,1,0.0555556
27,1,0.0555556
28,1,0.0555556
trimming,1,0.0555556
transport,1,0.0555556
translation,1,0.0555556
whether,1,0.0555556
year,1,0.0555556
xml,1,0.0555556
wrapper,1,0.0555556
11,1,0.0555556
12,1,0.0555556
13,1,0.0555556
15,1,0.0555556
widespread,1,0.0555556
17,1,0.0555556
while,1,0.0555556
18,1,0.0555556
transforming,1,0.0555556
19,1,0.0555556
1972,1,0.0555556
what,1,0.0555556
1978,1,0.0555556
1983,1,0.0555556
20,1,0.0555556
200,1,0.0555556
2011,1,0.0555556
ve,1,0.0555556
2014,1,0.0555556
variety,1,0.0555556
string,1,0.0555556
sybase,1,0.0555556
survive,1,0.0555556
surrounded,1,0.0555556
sure,1,0.0555556
supports,1,0.0555556
supporting,1,0.0555556
absence,1,0.0555556
actually,1,0.0555556
supercalc,1,0.0555556
adding,1,0.0555556
style,1,0.0555556
aligned,1,0.0555556
systems,1,0.0555556
storing,1,0.0555556
allow,1,0.0555556
allowing,1,0.0555556
possible,1,0.0555556
standardized,1,0.0555556
standardization,1,0.0555556
almost,1,0.0555556
alternatively,1,0.0555556
although,1,0.0555556
specifying,1,0.0555556
specify,1,0.0555556
360,1,0.0555556
transferring,1,0.0555556
transfer,1,0.0555556
29,1,0.0555556
3,1,0.0555556
time,1,0.0555556
though,1,0.0555556
those,1,0.0555556
30,1,0.0555556
31,1,0.0555556
32,1,0.0555556
there,1,0.0555556
specifies,1,0.0555556
4,1,0.0555556
their,1,0.0555556
5,1,0.0555556
6,1,0.0555556
7,1,0.0555556
testing,1,0.0555556
technologies,1,0.0555556
77,1,0.0555556
tackled,1,0.0555556
9,1,0.0555556
abbreviation,1,0.0555556
delimiters,1,0.0555556
december,1,0.0555556
deficiencies,1,0.0555556
impossible,1,0.0555556
defined,1,0.0555556
import,1,0.0555556
defining,1,0.0555556
implement,1,0.0555556
definition,1,0.0555556
ietf,1,0.0555556
identical,1,0.0555556
ibm,1,0.0555556
how,1,0.0555556
decade,1,0.0555556
hive,1,0.0555556
history,1,0.0555556
higher,1,0.0555556
high,1,0.0555556
heavily,1,0.0555556
description,1,0.0555556
detect,1,0.0555556
determined,1,0.0555556
h,1,0.0555556
gz,1,0.0555556
developed,1,0.0555556
creating,1,0.0555556
lacks,1,0.0555556
knowledge,1,0.0555556
just,1,0.0555556
jure,1,0.0555556
jis,1,0.0555556
itself,1,0.0555556
corresponds,1,0.0555556
could,1,0.0555556
cr,1,0.0555556
interpretation,1,0.0555556
interpret,1,0.0555556
created,1,0.0555556
government,1,0.0555556
intermediate,1,0.0555556
dates,1,0.0555556
intended,1,0.0555556
instead,1,0.0555556
days,1,0.0555556
deal,1,0.0555556
indicate,1,0.0555556
indexes,1,0.0555556
incorrect,1,0.0555556
incompatible,1,0.0555556
incompatibilities,1,0.0555556
executive,1,0.0555556
february,1,0.0555556
easy,1,0.0555556
ebcdic,1,0.0555556
favor,1,0.0555556
fast,1,0.0555556
facto,1,0.0555556
extension,1,0.0555556
extended,1,0.0555556
express,1,0.0555556
ecommerce,1,0.0555556
editing,1,0.0555556
expecting,1,0.0555556
early,1,0.0555556
exceptions,1,0.0555556
empty,1,0.0555556
examples,1,0.0555556
enclose,1,0.0555556
evolved,1,0.0555556
every,1,0.0555556
even,1,0.0555556
european,1,0.0555556
escape,1,0.0555556
enhancing,1,0.0555556
enforced,1,0.0555556
divided,1,0.0555556
google,1,0.0555556
generic,1,0.0555556
fuzzy,1,0.0555556
dialects,1,0.0555556
distinction,1,0.0555556
free,1,0.0555556
fragments,1,0.0555556
foundation,1,0.0555556
distinguish,1,0.0555556
forth,1,0.0555556
formedness,1,0.0555556
formatting,1,0.0555556
last,1,0.0555556
do,1,0.0555556
formalizes,1,0.0555556
formalized,1,0.0555556
formal,1,0.0555556
document,1,0.0555556
documentation,1,0.0555556
follow,1,0.0555556
fixing,1,0.0555556
fixed,1,0.0555556
dos,1,0.0555556
drafts,1,0.0555556
operate,1,0.0555556
pair,1,0.0555556
cell,1,0.0555556
own,1,0.0555556
cells,1,0.0555556
others,1,0.0555556
central,1,0.0555556
osborne,1,0.0555556
os,1,0.0555556
order,1,0.0555556
checked,1,0.0555556
cited,1,0.0555556
claim,1,0.0555556
pandas,1,0.0555556
closed,1,0.0555556
command,1,0.0555556
commands,1,0.0555556
commission,1,0.0555556
okf,1,0.0555556
officially,1,0.0555556
offers,1,0.0555556
communicated,1,0.0555556
off,1,0.0555556
communication,1,0.0555556
compared,1,0.0555556
platforms,1,0.0555556
producing,1,0.0555556
processed,1,0.0555556
process,1,0.0555556
present,1,0.0555556
prefixing,1,0.0555556
preferred,1,0.0555556
predates,1,0.0555556
caret,1,0.0555556
casually,1,0.0555556
position,1,0.0555556
portals,1,0.0555556
portable,1,0.0555556
comparison,1,0.0555556
platform,1,0.0555556
catalogs,1,0.0555556
personal,1,0.0555556
permit,1,0.0555556
perfect,1,0.0555556
per,1,0.0555556
pass,1,0.0555556
partners,1,0.0555556
cause,1,0.0555556
parsing,1,0.0555556
parsed,1,0.0555556
lists,1,0.0555556
march,1,0.0555556
many,1,0.0555556
manual,1,0.0555556
management,1,0.0555556
making,1,0.0555556
consecutive,1,0.0555556
major,1,0.0555556
machines,1,0.0555556
long,1,0.0555556
location,1,0.0555556
local,1,0.0555556
loading,1,0.0555556
marks,1,0.0555556
consumer,1,0.0555556
lines,1,0.0555556
limits,1,0.0555556
limited,1,0.0555556
limitations,1,0.0555556
likely,1,0.0555556
like,1,0.0555556
lf,1,0.0555556
level,1,0.0555556
convention,1,0.0555556
leading,1,0.0555556
na,1,0.0555556
null,1,0.0555556
compiler,1,0.0555556
normally,1,0.0555556
completed,1,0.0555556
completely,1,0.0555556
needs,1,0.0555556
needed,1,0.0555556
need,1,0.0555556
nearly,1,0.0555556
natively,1,0.0555556
national,1,0.0555556
program,1,0.0555556
complex,1,0.0555556
multiple,1,0.0555556
ms,1,0.0555556
moving,1,0.0555556
compressibility,1,0.0555556
modeling,1,0.0555556
might,1,0.0555556
computing,1,0.0555556
configure,1,0.0555556
confuse,1,0.0555556
maximum,1,0.0555556
